West Virginia Lookouts Total known Sites - 132 Last Update - 5/24/2013, 
#, Tower Name, County, USGS Quad, Coordinates, Ownership, Status, Remarks, 
1, Laurel Mountain, Barbour, Belington, 39 00 14 79 53 11, WVDF, Unknown, , 
50, Slate Lick, Mineral, Headsville, 39 25 20 78 47 24, WVDF, Unknown, , 
51, Buffalo Mountain, Mingo, Delbarton, 37 42 18 82 12 49, WVDF, Unknown, , 
52, Hells Knob, Mingo, Delbarton, 37 42 55 82 13 50, STATE, Removed, , 
53, Pickering Knob, Mingo, Holden, 37 46 47 82 06 24, WVDF, Removed, , 
54, Brushy Mountain, Monroe, Glace, 37 41 36 80 20 52, PRIVATE (formerly WVDF), Unknown, , 
55, Hanging Rock (I), Monroe, Gap Mills, Approx. 37 30 15 80 27 11, WVDF, Removed, , 
56, Hanging Rock (II), Monroe, Gap Mills, Approx. 37 30 15 80 27 11, USFS (formerly WVDF), Removed, , 
57, Hanging Rock (III), Monroe, Gap Mills, Approx. 37 30 15 80 27 11, USFS, Standing, , 
58, Peters Mountain, Monroe, Unknown, Unknown, STATE, Unknown, Relocated from Stop Knob, 
59, Sideling Hill, Morgan, Paw Paw, 39 31 51 78 23 49, WVDF, Removed, , 
60, Cottle Knob, Nicholas, Craigsville, 38 21 36 80 38 49, WVDF, Removed, , 
61, Lone Star, Nicholas, Gilboa, 38 19 30 80 57 05, WVDF, Removed, , 
62, Sugar Grove (I), Nicholas, Corliss, Unknown, STATE, Removed, Wooden tower, 
63, Sugar Grove (II), Nicholas, Corliss, 38 06 09.1 80 48 07.8, PRIVATE (formerly WVDF), Standing, Steel tower, 
64, Unknown (Nettie Fire Department, Incorporated), Nicholas, Nettie, 38 13 22 80 41 08, Nettie Fire Department, Incorporated, Standing, Former Briery Knob (II) tower, purchased from WVDF and relocated, 
65, Unknown (Richwood Volunteer Fire Department, Incorporated), Nicholas, Richwood, 38 13 28 80 31 49, Richwood Volunteer Fire Department, Incorporated, Standing, Former Mikes Knob tower, purchased from USFS and relocated, 
66, Niges Cliff, Pendleton, Circleville, 38 41 xx 79 25 xx, WVCC, Removed, , 
67, North Fork Mountain, Pendleton, Upper Tract, 38 50 38 79 19 39, USFS, Removed, , 
68, Pike Knob, Pendleton, Circleville, 38 40 02 79 26 16, USFS, Removed, , 
69, Spruce Knob (I), Pendleton, Spruce Knob, Unknown, Unknown, Removed, Wooden tower, 
70, Spruce Knob (II), Pendleton, Spruce Knob, 38 41 58 79 31 59, USFS, Standing (August 29, 2009), Two story stone observation tower, 
71, Bald Knob (I), Pocahontas, Cass, Unknown, WVGFC, Removed, Replaced by Bald Knob (II), 
72, Bald Knob (II), Pocahontas, Cass, 38 26 53 79 55 52, WVDNR (formerly WVDF), Standing, , 
73, Beaver Lick, Pocahontas, Lake Sherwood, 38 07 04 80 03 15, USFS, Removed, , 
74, Black Mountain, Pocahontas, Woodrow, 38 16 21 80 14 18, STATE, Removed, , 
75, Briery Knob (I), Pocahontas, Lobelia, Unknown, WVGFC, Removed, Replaced by Briery Knob (II), 
76, Briery Knob (II), Pocahontas, Lobelia, 38 08 39 80 20 39, WVDF (leased to USFS), Removed, Sold to Nettie Fire Department, Incorporated, dismantled and relocated, 
77, Gaudineer, Pocahontas, Durbin, 38 36 54 79 50 36, USFS, Removed, , 
78, Gay Knob, Pocahontas, Edray, Approx. 38 19 03 80 04 12, Unknown, Removed, , 
79, Little Mountain, Pocahontas, Unknown, Unknown, USFS, Unknown, , 
80, Michael Mountain, Pocahontas, Clover Lick, 38 17 25 79 54 12, WVCC, Removed, , 
81, Mountain View, Pocahontas, Edray, Unknown, STATE, Unknown, , 
82, Red Spruce, Pocahontas, Woodrow, 38 19 35 80 09 14, USFS, Removed, , 
83, Sharps Knob (I), Pocahontas, Sharp Knob, Unknown, Unknown, Removed, , 
84, Sharps Knob (II), Pocahontas, Sharp Knob, 38 25 36 80 09 51, USFS, Removed, , 
85, Signal Knob, Pocahontas, Wildell, Unknown, STATE, Removed, , 
86, Smoke Camp Knob, Pocahontas, Thornwood, Approx. 38 33 10 79 42 15, USFS, Removed, , 
87, Thorny Mountain, Pocahontas, Clover Lick, 38 18 49 79 56 45, WVDNR (formerly WVCC), Standing (May 11, 2012), , 
88, Unknown (Cass Scenic Railroad State Park), Pocahontas, Cass, Approx. 38 24 22 79 56 51, WVDNR, Standing, Former Gauley Mountain tower, purchased from WVDF and relocated, 
89, Unknown (Snowshoe Mountain, Incorporated), Pocahontas, Cass, Approx. 38 25 08 79 57 52, Snowshoe Mountain, Incorporated, Standing, Former Rich Mountain tower, purchased from WVDF and relocated, 
, White Rocks, Pocahontas, Lake Sherwood, See 'Beaver Lick', 
90, Caddell Mountain, Preston, Terra Alta, 39 26 39 79 36 25, WVDF, Unknown, , 
91, Cheat View, Preston, Masontown, Unknown, Unknown, Unknown, , 
92, Sand Spring, Preston, Lake Lynn, 39 41 43 79 45 45, WVDF, Removed, , 
93, Snaggy Mountain, Preston, Oakland, 39 29 11 79 29 13, MDDNR, Removed, Owned / maintained by the state of Maryland, 
94, Tip Top, Preston, Unknown, Unknown, Unknown, Unknown, , 
95, Putnam, Putnam, Sissonville, 38 36 02 81 44 09, WVDF, Unknown, , 
, Bacon Knob, Raleigh, Dorothy, See 'Wriston Knob', 
96, Huff Knob, Raleigh, Flat Top, 37 35 25 81 06 54, WVDF, Standing (November 8, 2011), , 
97, Lick Knob (I), Raleigh, Pax, Unknown, WVFGFD, Removed, Replaced by Lick Knob (II), 
98, Lick Knob (II), Raleigh, Pax, 37 56 50 81 18 32, WVDF, Removed, , 
99, Round Knob, Raleigh, Prince, 37 45 23 81 03 54, WVDF, Removed, , 
100, Tams Mountain, Raleigh, Lester, 37 41 55.2 81 18 04.9, WVDF, Standing (November 12, 2010), , 
101, Unknown, Raleigh, Pax, Approx. 37 52 33 81 16 03, Unknown, Unknown, Shown on USGS maps but possibility exists this is an error., 
102, Wriston Knob, Raleigh, Dorothy, 37 54 38 81 27 12, WVDF, Removed, Relocated from Eunice, 
Formerly known as Bacon Knob, 
103, Barton Knob, Randolph, Snyder Knob, 38 37 00 79 55 46, USFS (formerly WVDF), Standing (May 11, 2012), , 
104, Bickle Knob, Randolph, Bowden, 38 56 04 79 43 53, USFS, Standing, Converted to a observation platform (cab removed), 
105, Dolly Sods, Randolph, Hopeville, 38 57 51 79 21 26, USFS, Removed, , 
106, Gatewood, Randolph, Spruce Knob, 38 43 04 79 35 01, USFS, Removed, Lookout cabin / house, 
107, Laurel Hill, Randolph, Unknown, Unknown, STATE, Unknown, Possibly the same as Laurel Mountain in Barbour County, 
108, Parting Springs, Randolph, Samp, 38 37 02 80 09 35, WVDF, Unknown, , 
109, Rich Mountain, Randolph, Beverly West, 38 50 01 79 56 21, WVDF, Unknown, Sold to Snowshoe Mountain, Incorporated, dismantled and relocated, 
110, Unknown, Randolph, Adolph, Approx. 38 38 54 80 05 51, Unknown, Removed, , 
111, Unknown, Randolph, Unknown, Unknown, Private (unpublished), Standing, Relocated from [unknown], 
112, Keeney Mountain, Summers, Dawson, 37 46 24 80 42 18, WVDF, Standing (May 8, 2006), , 
113, Backbone Mountain, Tucker, Mozark Mountain, 39 06 24 79 36 05, USFS (formerly WVDF), Removed, , 
114, Bearden Knob, Tucker, Blackwater Falls, 39 06 19 79 25 33, USFS, Removed, , 
115, Canaan, Tucker, Blackwater Falls, 39 05 43 79 26 29, USFS, Removed, , 
116, McGowan, Tucker, Parsons, Unknown, STATE, Unknown, , 
117, Mozark, Tucker, Mozark Mountain, 39 02 37 79 33 35, USFS, Removed, , 
118, Olson, Tucker, Mozark Mountain, 39 06 24 79 36 11, USFS, Standing (August 30, 2008), , 
119, Weiss Knob, Tucker, Laneville, 38 59 xx 79 25 xx, STATE, Unknown, , 
120, Jacob’s Knob, Unknown, Unknown, Unknown, Unknown, Unknown, , 
121, Tick Ridge, Wayne, Webb, 37 58 45 82 23 23, WVDF, Standing (March 6, 2010), , 
122, Big Mountain, Webster, Erbacon, 38 36 17 80 31 04, WVDF, Standing (October 14, 2007), , 
, Holly River, Webster, Goshen, See 'Pickens', 
123, Pickens, Webster, Goshen, 38 39 31 80 18 57, WVCC, Removed (unconfirmed), , 
124, Point Mountain, Webster, Skelt, 38 31 32 80 17 57, WVDF, Unknown, , 
125, Potato Hill, Webster, Unknown, Unknown, STATE, Unknown, , 
126, Red Oak Knob, Webster, Webster Springs SW, 38 21 11 80 26 25, USFS, Standing (2009), , 
127, Turkey Mountain, Webster, Unknown, Unknown, Unknown, Unknown, , 
128, Carlin Hill, Wetzel, Folsom, Unknown, STATE, Removed, , 
129, Burning Rock, Wyoming, Oceana, 37 41 38 81 41 51, WVDF, Unknown, , 
130, Ivy Knob (I), Wyoming, Unknown, Unknown, WVGFC, Removed, Replaced by Ivy Knob (II), 
131, Ivy Knob (II), Wyoming, Arnett, 37 47 15 81 29 28, WVDF, Standing (February 19, 2011), , 
132, Lambert Knob, Wyoming, Pineville, 37 32 46 81 33 30, WVDF, Unknown, , 
Totals: Total standing active - TBD Total standing inactive - TBD Total no longer standing - TBD, 
Notes: West Virginia (County Listing) – Revision #2013-05-24 WV tower research by Ron Stafford with assistance from Robert L. Beanblossom, Andy Fitzgibbons, Mark Haughwout and Brian M. Powell. Special thanks to David Goad and Greg Strong for their outstanding contributions regarding the various McDowell County towers owned by Alawest, Incorporated. Tower names are as shown on official West Virginia state and U.S. government maps and other publications, or as listed by the various West Virginia state and U.S. government agencies (state conservation, environmental, forestry and transportation departments, NPS, USFS, etc.). Unconfirmed tower names were taken from unofficial sources (local names, unofficial maps, etc.) or have been assigned by Stafford (until name confirmation or further data is received)., Key: Green = Standing Red = Removed Yellow = Incomplete information (that which is unconfirmed and will be updated as the correct data becomes available). MDDNR (state) = Maryland Department of Natural Resources PRIVATE = Privately Owned USFS = U.S. Forest Service (U.S. Department of Agriculture) WVCC (state) = West Virginia Conservation Commission (1933-1961) WVDF (state) = West Virginia Division of Forestry (1961-present) WVDNR (state) = West Virginia Department of Natural Resources (1961-1983?) WVDNR (state) = West Virginia Division of Natural Resources (19xx-) WVFGFD (state) = West Virginia Forest, Game and Fish Department (1909-1921) WVGFC (state) = West Virginia Game and Fish Commission (1921-1929) WVGFFC (state) = West Virginia Game, Fish and Forestry Commission (1929-1933), 
