South Carolina Lookouts Total known Sites - 197 Last Update - 8/16/2012, 
#, Tower Name, County, Coordinates, Operator, Status, Photo, Remarks, 
1, Lowndesville, Abbeville, 34 13 35 82 34 22, SCFC, Standing (January 24, 2012 per SCFC), , , 
2, Parsons Mountain, Abbeville, 34 04 59 82 21 46, USFS, Standing (November 4, 2009), Photo, , 
3, Cassels, Aiken, 33 14 08 81 42 54, SRS / DOE, Standing (October 5, 2010), , , 
4, Graniteville, Aiken, 33 35 30 81 50 20, SCFC, Removed (per SCFC), , , 
53, Unknown (Santee Coastal Reserve), Charleston, Approx. 33 08 40 79 19 22, SCDNR, Unknown, , Former Buck Hall tower, purchased from USFS and relocated, 
54, Browns Mountain, Cherokee, 35 07 52 81 24 18, SCFC, Unknown, , Kings Mountain National Military Park, 
55, Draytonville, Cherokee, 35 02 47 81 35 21, SCFC, Standing (January 24, 2012 per SCFC), , , 
56, Unknown (Wayne Cooper), Cherokee, Approx. 35 01 22 81 38 55, N/A, Standing, , Former Loris tower, purchased from SCFC and relocated, 
57, Chester, Chester, 34 39 55 81 05 50, SCFC, Removed, , , 
58, Leeds, Chester, 34 40 27 81 24 53, USFS, Standing, , , 
59, McBee, Chesterfield, 34 29 50 80 16 20, SCFC, Standing (January 24, 2012 per SCFC), , , 
60, Pageland, Chesterfield, 34 45 13 80 25 16, SCFC, Standing (January 24, 2012 per SCFC), , , 
61, Patrick, Chesterfield, 34 33 19 79 59 47, SCFC, Removed (per SCFC), , , 
62, Ruby, Chesterfield, 34 36 57 80 11 52, SCFC, Standing (January 24, 2012 per SCFC), , , 
63, Foreston, Clarendon, 33 37 55 80 04 16 (GPS reading), SCFC, Removed, , , 
64, New Zion, Clarendon, 33 46 32 80 00 51, SCFC, Removed, , , 
65, Summerton, Clarendon, 33 37 46 80 19 06, SCFC, Removed, , , 
66, Cane Branch, Colleton, 32 50 57 80 47 07, SCFC, Removed, , , 
67, Cottageville, Colleton, 32 55 32 80 25 15, SCFC, Removed, , , 
68, Green Pond, Colleton, 32 43 47 80 36 48, SCFC, Removed, , , 
69, Lodge, Colleton, 33 02 09 80 56 31 (GPS reading), SCFC, Removed, , , 
70, Stokes, Colleton, 33 00 28 80 42 04, SCFC, Removed, , , 
71, Hartsville, Darlington, 34 25 46 80 05 40, SCFC, Removed (per SCFC), , , 
72, Mont Clare, Darlington, 34 23 02 79 47 26, SCFC, Standing (January 24, 2012 per SCFC), , , 
73, Philadelphia, Darlington, 34 15 40 80 01 16, SCFC, Removed (per SCFC), , , 
74, Unknown, Darlington, 34 28 50 79 51 37, Unknown, Unknown, , Shown on 1963 topo map, 
75, Dillon, Dillon, 34 27 21 79 20 15, SCFC, Standing (2012), , , 
76, Latta, Dillon, 34 19 26 79 26 18, SCFC, Removed, , , 
77, Ridgeville, Dorchester, 33 06 40 80 17 48 (GPS reading), SCFC, Standing (Private), Photo, Sold to Von Bolin, 
78, Saint George, Dorchester, 33 10 34 80 32 39, SCFC, Removed, , , 
79, Summerville, Dorchester, 32 56 02 80 10 38, SCFC, Removed, , , 
80, Edgefield, Edgefield, 33 47 36 81 54 29, SCFC, Removed, , Sold to Berkeley Scrap Metal and dismantled, 
81, Key Bridge, Edgefield, Approx. 33 47 28 82 08 09, USFS, Removed, , , 
82, Liberty Hill, Edgefield, 33 55 22 82 08 34, USFS, Standing, Photo, , 
83, Jenkinsville, Fairfield, 34 15 40 81 16 48, SCFC, Removed, , , 
84, Shelton, Fairfield, 34 27 56 81 23 54, USFS, Removed, , , 
85, Simpson, Fairfield, 34 18 30 81 01 33, SCFC, Removed (unconfirmed), , , 
86, Unknown (Tommy Hawkins), Fairfield, Unknown, N/A, Unknown, , Former Ballentine tower, purchased from SCFC and relocated, 
87, Unknown (Tommy Hawkins), Fairfield, Unknown, N/A, Unknown, , Former Lake Murray tower, purchased from SCFC and relocated, 
88, White Oak, Fairfield, 34 28 25 81 08 58, SCFC, Removed, , , 
89, Mars Bluff, Florence, 34 11 28 79 37 35, SCFC, Removed, , Sold to Steve Fagan and dismantled, 
90, Olanta, Florence, 33 58 36 79 50 07, SCFC, Removed, , , 
91, Pamplico, Florence, 33 56 37 79 33 11, SCFC, Removed, , , 
92, Timmonsville, Florence, 34 07 26 79 51 54, SCFC, Removed, , , 
, Tomlinson, Florence, See 'Pamplico', 
93, Unknown (Moore Farms), Florence, 33 52 10 79 49 14, Moore Farms, Standing (October 25, 2011), Photo, , 
94, Brookgreen, Georgetown, 33 31 25 79 05 49, Unknown, Removed, , , 
95, Sampit, Georgetown, 33 21 26 79 29 06 (GPS reading), SCFC, Standing, Photo, , 
96, Tyson, Georgetown, 33 27 09 79 16 48 (GPS reading), SCFC, Standing, , , 
97, Unknown (Belle W. Baruch Foundation), Georgetown, 33 20 05 79 11 40, Belle W. Baruch Foundation, Unknown, , , 
98, Unknown (Bernard Baruch), Georgetown, Unknown, Bernard Baruch, Removed, , , 
99, Winyah Bay, Georgetown, 33 17 00 79 20 58 (GPS reading), SCFC, Standing, , , 
100, Yauhannah, Georgetown, 33 38 49 79 10 18, SCFC, Removed, , , 
101, Cleveland, Greenville, 35 04 27 82 30 18, STATE, Removed, , , 
102, Corbin Mountain, Greenville, 35 10 04 82 26 04, SCFC, Standing, , , 
103, Fork Shoals, Greenville, 34 39 48 82 18 47, SCFC, Standing (February 17, 2009), , , 
104, Paris Mountain (I), Greenville, Unknown, SCFC, Removed, , , 
105, Paris Mountain (II), Greenville, 34 56 28 82 24 36, SCFC, Standing, , , 
106, Epworth, Greenwood, 34 07 02 82 01 33, SCFC, Removed (per SCFC), , , 
107, Hodges, Greenwood, 34 15 46 82 14 02, SCFC, Standing (April 5, 2009), , , 
108, Troy, Greenwood, E377810 N3761640 (UTM coordinates per Scott Kline), USFS, Removed, , Relocated to McCormick, 
109, Davidson, Hampton, 32 42 44 80 55 26 (GPS reading), SCFC, Removed, , , 
110, Scotia, Hampton, 32 40 43 81 15 59 (GPS reading), SCFC, Removed, , , 
111, Varnville, Hampton, 32 52 32 81 02 31 (GPS reading), SCFC, Standing (February 20, 2009), Photo, , 
112, Aynor, Horry, 33 59 30 79 09 51, SCFC, Standing (January 24, 2012 per SCFC), , , 
113, Loris, Horry, 34 03 10 78 52 42, SCFC, Removed, , Sold to Wayne Cooper, dismantled and relocated, 
114, Meade, Horry, 33 47 09 79 01 12, SCFC, Removed, Photo, Sold, dismantled and relocated to Georgia, 
115, Wampee, Horry, 33 50 36 78 42 08, SCFC, Removed, , , 
116, Okeetee, Jasper, 32 24 14 81 01 38 (GPS reading), SCFC, Removed, , Sold to USF&WS, dismantled and relocated to Georgia, 
117, Ridgeland, Jasper, 32 35 38 81 03 33 (GPS reading), SCFC, Removed, , , 
118, Blaney, Kershaw, 34 10 16 80 46 59, SCFC, Removed, , , 
119, Buffalo, Kershaw, 34 32 52 80 29 02, SCFC, Removed (per SCFC), , , 
120, Camden (I), Kershaw, Unknown, SCFC, Removed, , , 
, Camden (II), Kershaw, 34 16 44 80 35 55, SCFC, Removed, , Sold to Bill Bundy, dismantled and relocated, 
121, Cassatt, Kershaw, 34 23 16 80 27 16, SCFC, Removed, , , 
122, Liberty Hill, Kershaw, 34 28 33 80 48 12, SCFC, Standing (July, 2010), , , 
123, Westville, Kershaw, 34 28 00 80 35 38, SCFC, Removed, , , 
124, Unknown (Bill Bundy), Kershaw, 34 08 14 80 32 48, N/A, Standing, , Former Camden tower, purchased from SCFC and relocated, 
125, Primus, Lancaster, 34 40 25 80 38 20, SCFC, Removed, , , 
126, Riverside, Lancaster, 34 45 37 80 51 04, SCFC, Removed, , , 
127, Big Knob, Laurens, 34 34 14 82 06 56, SCFC, Standing (February 17, 2009), , , 
128, Mountville, Laurens, 34 22 51 82 00 23, SCFC, Removed, , , 
129, Tip Top, Laurens, 34 29 50 81 45 12, USFS, Standing, , , 
130, Atkins, Lee, 34 02 38 80 07 16, SCFC, Standing (November, 2010), , , 
131, Bishopville, Lee, 34 13 40 80 18 23, SCFC, Unknown, , Site sold, tower status unknown, 
132, Spring Hill, Lee, 34 08 45 80 25 56, SCFC, Removed, , , 
133, Arthur, Lexington, 33 58 07 81 10 23, Unknown, Removed (unconfirmed), , , 
134, Gaston, Lexington, 33 48 50 81 06 09, SCFC, Standing (July, 2011), , , 
135, Gilbert, Lexington, 33 52 46 81 19 50, SCFC, Removed, , , 
136, Lake Murray, Lexington, 33 59 51 81 18 32, SCFC, Removed, , Sold to Tommy Hawkins, dismantled and relocated, 
137, Leesville, Lexington, 33 55 42 81 29 46, SCFC, Standing (January 24, 2012 per SCFC), , , 
138, Shulls Hill, Lexington, 33 57 57 81 10 51, SCFC, Removed (unconfirmed), , Site reverted back to owner, 
139, Unknown, Lexington, Unknown, Unknown, Standing (2009), , West of Columbia, SC on the Broad River (per Wayne Cooper), 
140, Brittons Neck, Marion, 33 51 45 79 19 46, SCFC, Unknown, , , 
141, Marion Gresham, Marion, 34 06 08 79 24 16, SCFC, Removed (per SCFC), , , 
142, Nichols, Marion, 34 16 04 79 09 55, SCFC, Removed, , , 
143, Bennettsville, Marlboro, 34 39 21 79 37 26, SCFC, Removed (per SCFC), , , 
144, Blenheim, Marlboro, 34 29 40 79 34 47, SCFC, Standing (January 24, 2012 per SCFC), , , 
145, Wallace, Marlboro, 34 46 06 79 50 03, SCFC, Standing (January 24, 2012 per SCFC), , , 
, Ballast Ridge, Marlboro, See 'Wallace', 
, Clarks Hill, McCormick, See 'Woodlawn', 
146, McCormick, McCormick, 33 55 49 82 19 43, SCFC, Standing, Photo, Relocated from Troy, 
147, Woodlawn, McCormick, 33 37 25 82 07 36, USFS, Standing, Photo, , 
148, Long Lane, Newberry, 34 23 40 81 35 29, USFS, Removed, , , 
149, Prosperity, Newberry, 34 10 54 81 32 17, SCFC, Removed, , , 
150, Silverstreet, Newberry, 34 15 45 81 46 15, SCFC, Removed, , , 
151, Unknown (Charles Doolittle), Newberry, Unknown, N/A, Standing, , Former Kelly tower, purchased from SCFC and relocated, 
152, Long Creek, Oconee, 34 48 18 83 14 16, USFS, Standing, Photo, , 
153, Long Mountain (I), Oconee, Unknown, USFS, Removed, Photo, , 
, Long Mountain (II), Oconee, 34 52 51 83 05 55, USFS, Standing, Photo, , 
154, Oakway, Oconee, 34 36 39 83 02 20, SCFC, Standing (April 3, 2009), Photo, , 
, Round Mountain, Oconee, See 'Long Creek', 
155, Smeltzer Mountain, Oconee, 34 55 53 82 58 19, SCFC, Removed (per SCFC), , , 
156, Unknown, Oconee, 34 50 06 82 55 10, Unknown, Unknown, , , 
157, Yellow Branch, Oconee, 34 47 46 83 07 19, Unknown, Removed, , , 
158, Holly Hill, Orangeburg, Approx. 33 21 41 80 23 36, Unknown, Removed, , , 
159, Neeses, Orangeburg, 33 32 22 81 09 25, SCFC, Removed, , Relocated to Harbison State Forest, 
160, Orangeburg, Orangeburg, 33 32 45 80 50 26, SCFC, Removed, , , 
161, Rowesville, Orangeburg, 33 21 59 80 47 37, SCFC, Removed, , , 
162, Way, Orangeburg, 33 27 08 80 35 42, SCFC, Standing (January 24, 2012 per SCFC), , , 
163, Clemson, Pickens, 34 37 38 82 50 34, SCFC, Standing (February 8, 2009), , Sold to Clemson University, 
164, Glassy Mountain, Pickens, 34 54 02 82 39 35, SCFC, Standing (April 3, 2009), Photo, , 
165, Isaqueena, Pickens, 34 44 32 82 50 18, Unknown, Standing (April 3, 2009), , , 
166, Sassafras Mountain, Pickens, 35 03 54 82 46 38, SCFC, Removed (per SCFC), , , 
167, Unknown, Pickens, 34 41 46 82 46 22, Unknown, Standing (2009), , , 
168, Woodall, Pickens, 34 53 11 82 48 47, SCFC, Removed (per SCFC), , , 
169, Ballentine, Richland, 34 06 30 81 10 55, SCFC, Removed, , Sold to Tommy Hawkins, dismantled and relocated, 
170, Blythewood, Richland, 34 12 09 80 58 56, SCFC, Removed, , , 
171, Eastover, Richland, 33 57 10 80 46 52, SCFC, Removed, , Sold to Dr. Ken Huggins, dismantled and relocated, 
172, Fort Jackson, Richland, 34 01 18 80 52 03, U.S. Army, Unknown, Photo, Former SCFC tower on U.S. Army property, 
173, Harbison State Forest (name unconfirmed), Richland, Approx. 34 05 11 81 07 46, N/A, Standing, , Relocated from Neeses, 
174, State Park, Richland, 34 05 51 80 54 37, SCFC, Standing, , Transferred to South Carolina Department of Parks, Recreation & Tourism, 
175, Unknown (Dr. Ken Huggins), Richland, Approx. 33 56 59 80 42 06, N/A, Standing, , Former Eastover tower, purchased from SCFC and relocated, 
176, Faulkner Mountain, Saluda, 33 57 53 81 59 19, USFS, Removed, , , 
177, Saluda, Saluda, 34 00 43 81 47 45, SCFC, Standing (January 24, 2012 per SCFC), , , 
178, August Hill, Spartanburg, 35 08 23 82 04 58, SCFC, Removed, , , 
179, Duncan, Spartanburg, 34 54 08 82 08 25, SCFC, Removed, Photo, , 
180, Hobbyville, Spartanburg, 34 42 28 81 57 00, SCFC, Standing (February 17, 2009), , , 
181, White Stone, Spartanburg, 34 53 19 81 49 13, SCFC, Unknown, , , 
182, Black River, Sumter, 33 53 49 80 12 33, SCFC, Removed (unconfirmed), , Site sold to unknown owner, 
183, Catchall, Sumter, 34 00 52 80 29 31 (GPS reading), SCFC, Standing, , , 
184, Rosemary, Sumter, 33 48 04 80 30 15, USAF (formerly SCFC), Standing, Photo, , 
185, Shiloh, Sumter, Unknown, SCFC, Unknown, , Site reverted back to owner, 
186, Stateburg, Sumter, Unknown, SCFC, Unknown, , Site reverted back to owner, 
187, Kelly, Union, 34 48 46 81 37 21, SCFC, Removed, , Sold to Charles Doolittle, dismantled and relocated, 
188, Sedalia, Union, 34 36 46 81 42 50, USFS, Removed, , , 
189, Whitmire, Union, 34 31 20 81 35 24, USFS, Standing, Photo, , 
190, Cook, Williamsburg, 33 38 02 79 28 38, SCFC, Removed, , , 
191, Cooper, Williamsburg, 33 43 42 79 42 39, SCFC, Removed (per SCFC), , , 
192, Earle, Williamsburg, 33 28 06 79 38 38, SCFC, Removed (per SCFC), , , 
193, Lane, Williamsburg, 33 31 16 79 54 54, SCFC, Removed, , , 
194, Unknown, York, 35 04 12 80 54 45, Unknown, Removed, , , 
195, Lesslie, York, 34 53 22 80 57 48, SCFC, Standing (January 24, 2012 per SCFC), , , 
196, Nanny Mountain, York, 35 04 24 81 06 12, Unknown, Unknown, , , 
197, Sharon, York, 34 56 23 81 17 50, SCFC, Removed, , , 
Totals: Total standing active - Undetermined Total standing inactive - Undetermined Total no longer standing - Undetermined, 
Notes: SC tower research by Ron Stafford, with assistance from Debbie Kiser and David Owen (South Carolina Forestry Commission), Robert T. Morgan (U.S. Forest Service) and Dr. Michael T. Finch. Tower names are as shown on official South Carolina state and U.S. government maps and other publications, or as listed by the various South Carolina state and U.S. government agencies (state conservation, environmental, forestry and transportation departments, NPS, USFS, etc.). Unconfirmed tower names were taken from unofficial sources (local names, unofficial maps, etc.) or have been assigned by Stafford (until name confirmation or further data is received)., Key: Green = Standing Red = Removed Yellow = Incomplete information (that which is unconfirmed and will be updated as the correct data becomes available). PRIVATE = Privately Owned SCDNR (state) = South Carolina Department of Natural Resources SCFC (state) = South Carolina Forestry Commission SRS / DOE = Savannah River Site (U.S. Department of Energy) USA = U.S. Army USAF = U.S. Air Force USCG = U.S. Coast Guard USFS = U.S. Forest Service (U.S. Department of Agriculture) USFWS = U.S. Fish & Wildlife Service (U.S. Department of Interior) USMC = U.S. Marine Corps, 
