New Jersey Lookouts Total known Sites - 174 Last Update - 2/11/2006, 
Tower name, County, ?Owner, ?Forest, Date built, Type, Status, 
Mt Minsi PA*, Northampton Monroe, PA Forest Service, Unknown, Unknown, Wood then 47' Steel, Although in Pennsylvania, Mt Minsi is included here because of it?s proximity to New Jersey and it?s expansive view of Sussex and Warren counties. It was an active fire tower cooperating with New Jersey?s tower system. It was removed in the 1970?s but the site still remains, seen from Mt Bethel on the Kittatiny Ridge above the Delaware Water Gap., 
Old Bridge, Middlesex, leased, Private prop, 1942, Steel, Moved, 
Old Sentinel, Essex, Watershed, Steel, Unknown, 100? Standing, Abandoned, 
Old Sterling, Passaic, private, Ringwood, 19??, Wood, Info UA, 
Penn Forest, Burlington, Bass River, Sooey rd, 1900, Tree/wood, Info UA, 
Ramapo, Passaic, NJFFS, Ramapo, 1920-first, rebuilt 1983, Info UA, Active, 
Retreat Hill, Burlington, NJFFS, Unknown, 1938, 60? steel, Big Hill Tower- moved in 1960 to Apple Pie Hill, 
Rocky Hill, Monmouth, Municipal, 60? steel, Unknown, Info UA, Possible site found, 
Schley mtn, Somerset, Private estate, wood, Unknown, Info UA, Site now obliterated, 
Seward Hill, Morris, AT&T, Unknown, Unknown, 950? ele, Patrol point for Section 7- no tower- open summit lookout, 
South Mtn, Essex, County, Wood, Unknown, USGS, Site?????????, 
Sterling*, Orange, NY, Unknown, Unknown, 60' Steel, As above with PA,? Sterling tower in Sterling Forest State Park NY has historically been a cooperative fire tower with New Jersey, being only a short distance over the State line, 
Sunrise mtn, Sussex, State, Unknown, Unknown, Wood Pavilion, This is a roofed pavilion on the Kittatinny ridge and the Appalachian Trail. It is a vantage point to view Sussex County and is included here for that reason, 
Tabernacle, Burlington, Tabernacle, Unknown, 1904, Tripod, Info UA, 
Vineland, Salem, Cold Storage bldg/roof, Private prop., Unknown, Roof Lookout, Info UA, 
Whites Hill, Passaic, Ringwood company, Ringwood, 1908, Wood, N/A, 
Windbeam, Passaic, Ringwood Company, Wanaque? Reservoir, 1920, Steel, Moved, 
Woodmansie, Burlington, Lebanon SF, Pemberton, 1904, Tripod, Info UA, 
Worthington, Sussex, unknown, Pahaquarry, 1900, Wood, Burned, 
Totals: Total standing active - 21 Total standing inactive - 7 Total no longer standing - 46, 
Notes: Individual Tower breakdowns will be added in the future The Pennsylvania and New York cooperative towers are included in this list due to their historic role as being part of the overall "detection fabric" of Fire Detection in New Jersey. NJ Tower Research by Bob Spear, Key: Info UA - Information was unavailable at web posting time, but is likely available in the New Jersey Tower archives. If more information about any tower is desired, please contact Bob Spear. * - Cooperative tower on the NJ border, but located outside of NJ., 
